Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol,Elevation (Calibrated) (m),Harversine Distance to Next (m),Terrain Distance to Next (m)
鹿東1.5K,0,2024-08-11 09:04:09,23.445726,120.958393,245749,2593642,3795.000000,南C-1-3/C-1型 方向牌,南C-1-3/C-1型 方向牌,Milestone,3794.570068,76,92
鹿1.6K,1,2024-08-11 09:04:09,23.445326,120.958998,245811,2593597,3744.000000,,,Milestone,3743.679932,73,78
鹿1.7K,2,2024-08-11 09:04:09,23.445015,120.959624,245875,2593563,3716.000000,,,Milestone,3716.120117,70,77
鹿1.8K,3,2024-08-11 09:04:09,23.444790,120.960270,245941,2593538,3684.000000,鹿F-1-2/F-1型 指引標誌,鹿F-1-2/F-1型 指引標誌,Milestone,3683.580078,63,71
鹿1.9K,4,2024-08-11 09:04:09,23.444740,120.960890,246004,2593532,3653.000000,鹿C-1-1/C-1型 方向牌,鹿C-1-1/C-1型 方向牌,Milestone,3653.229980,84,90
鹿2.0K,5,2024-08-11 09:04:09,23.445153,120.961577,246074,2593578,3620.000000,,,Milestone,3619.949951,69,73
鹿2.1K/支0.8K,6,2024-08-11 09:04:09,23.445398,120.962203,246138,2593605,3598.000000,鹿C-2-1/C-1型 方向牌,鹿C-2-1/C-1型 方向牌,Milestone,3598.479980,70,74
鹿2.2K,7,2024-08-11 09:04:09,23.445813,120.962713,246190,2593651,3623.000000,,,Milestone,3622.929932,73,73
鹿2.3K,8,2024-08-11 09:04:09,23.446140,120.963337,246254,2593687,3619.000000,鹿C-3-1/C-3型 里程柱,鹿C-3-1/C-3型 里程柱,Milestone,3619.300049,63,63
鹿2.4K,9,2024-08-11 09:04:09,23.446600,120.963692,246290,2593738,3619.000000,,,Milestone,3618.560059,81,81
鹿2.5K,10,2024-08-11 09:04:09,23.447233,120.964079,246330,2593808,3630.000000,,,Milestone,3629.939941,71,72
鹿2.6K,11,2024-08-11 09:04:09,23.447486,120.964719,246395,2593836,3643.000000,,,Milestone,3642.669922,82,86
鹿2.7K,12,2024-08-11 09:04:09,23.447398,120.965513,246476,2593827,3616.000000,,,Milestone,3616.310059,85,88
鹿2.8K,13,2024-08-11 09:04:09,23.447526,120.966330,246560,2593841,3642.000000,鹿F-1-3/F-1型 指引標誌,鹿F-1-3/F-1型 指引標誌,Milestone,3641.899902,62,63
鹿2.9K,14,2024-08-11 09:04:09,23.447810,120.966849,246613,2593872,3629.000000,,,Milestone,3628.929932,69,75
鹿3.0K,15,2024-08-11 09:04:09,23.448099,120.967449,246674,2593904,3601.000000,,,Milestone,3601.189941,81,81
鹿3.1K,16,2024-08-11 09:04:09,23.448082,120.968242,246755,2593902,3601.000000,,,Milestone,3601.370117,75,75
鹿3.2K,17,2024-08-11 09:04:09,23.448197,120.968964,246829,2593915,3591.000000,,,Milestone,3591.080078,84,104
