Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol,Elevation (Calibrated) (m),Harversine Distance to Next (m),Terrain Distance to Next (m)
東2.3K/支0.0K,0,2024-08-11 09:04:09,23.439198,120.962259,246144,2592919,3695.000000,東南C-2-1/C-1型 方向牌,東南C-2-1/C-1型 方向牌,Milestone,3695.479980,90,90
支0.1K,1,2016-04-24 23:07:28,23.439848,120.961735,246090,2592991,3686.000000,,,Milestone,3685.659912,90,91
支0.2K,2,2016-04-24 23:10:49,23.440521,120.961239,246040,2593065,3676.000000,,,Milestone,3675.929932,89,91
支0.3K,3,2016-04-24 23:13:11,23.441311,120.961361,246052,2593153,3658.000000,,,Milestone,3657.840088,92,92
支0.4K,4,2016-04-24 23:15:30,23.442093,120.961081,246023,2593239,3659.000000,,,Milestone,3658.580078,76,77
支0.5K,5,2016-04-24 23:21:36,23.442766,120.960983,246013,2593314,3642.000000,,,Milestone,3641.520020,92,93
支0.6K,6,2024-08-11 09:04:09,23.443586,120.961088,246024,2593405,3629.000000,水源叉,水源叉,Milestone,3629.189941,123,125
支0.7K,7,2016-04-24 23:28:32,23.444608,120.961559,246072,2593518,3612.000000,,,Milestone,3611.820068,110,111
鹿2.1K/支0.8K,8,2024-08-11 09:04:09,23.445398,120.962203,246138,2593605,3598.000000,鹿C-2-1/C-1型 方向牌,鹿C-2-1/C-1型 方向牌,Milestone,3598.479980,,
