Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol,Elevation (Calibrated) (m),Harversine Distance to Next (m),Terrain Distance to Next (m)
南鹿東0.8K,0,2024-08-11 09:04:09,23.450298,120.955266,245430,2594148,3733.000000,南C-1-1/C-1型 方向牌,南C-1-1/C-1型 方向牌,Milestone,3733.030029,69,70
南0.9K,1,2016-04-25 21:31:13,23.449749,120.954954,245398,2594087,3743.000000,,,Milestone,3742.570068,74,75
南1.0K,2,2024-08-11 09:04:09,23.449159,120.954620,245364,2594022,3758.000000,南玉C-1-1/C-1型 里程柱,南玉C-1-1/C-1型 里程柱,Milestone,3757.949951,77,78
南1.1K,3,2016-04-25 21:42:27,23.448476,120.954526,245354,2593946,3772.000000,,,Milestone,3771.820068,82,107
南1.2K,4,2016-04-25 21:52:35,23.447892,120.954035,245304,2593882,3704.000000,,,Milestone,3703.860107,105,120
南1.3K,5,2024-08-11 09:04:09,23.447309,120.953222,245221,2593817,3647.000000,南玉C-1-2/C-1型 方向牌,南玉C-1-2/C-1型 方向牌,Milestone,3647.409912,77,98
南1.4K,6,2016-04-25 22:14:24,23.447145,120.952485,245145,2593799,3587.000000,,,Milestone,3587.179932,88,97
南1.5K,7,2024-08-11 09:04:09,23.446780,120.951720,245067,2593759,3545.000000,南玉C-3-1/C-3型 里程柱,南玉C-3-1/C-3型 里程柱,Milestone,3545.399902,91,91
南1.6K,8,2016-04-25 22:50:44,23.446972,120.950857,244979,2593780,3538.000000,,,Milestone,3537.929932,89,89
南1.7K,9,2016-04-25 23:01:35,23.446975,120.949983,244890,2593780,3545.000000,,,Milestone,3545.239990,98,98
南1.8K,10,2016-04-25 23:04:39,23.446316,120.949352,244825,2593707,3541.000000,,,Milestone,3541.199951,90,91
南1.9K,11,2016-04-25 23:07:00,23.445784,120.948691,244758,2593648,3524.000000,,,Milestone,3523.860107,100,102
南2.0K,12,2024-08-11 09:04:09,23.445190,120.947950,244682,2593583,3509.000000,南玉C-3-2/C-3型 里程柱,南玉C-3-2/C-3型 里程柱,Milestone,3509.209961,88,91
南2.1K,13,2016-04-25 23:13:38,23.444671,120.947295,244615,2593525,3489.000000,,,Milestone,3488.790039,94,94
南2.2K,14,2016-04-25 23:15:19,23.444097,120.946624,244546,2593462,3501.000000,,,Milestone,3501.399902,97,98
南2.3K,15,2016-04-25 23:17:50,23.443410,120.946031,244486,2593386,3507.000000,,,Milestone,3506.699951,95,96
南2.4K,16,2016-04-25 23:20:31,23.442811,120.945362,244417,2593319,3513.000000,,,Milestone,3512.929932,95,95
南2.5K,17,2024-08-11 09:04:09,23.442290,120.944630,244343,2593262,3509.000000,南玉C-3-3/C-3型 里程柱,南玉C-3-3/C-3型 里程柱,Milestone,3508.510010,85,87
南2.6K,18,2016-04-25 23:29:42,23.442745,120.943958,244274,2593312,3494.000000,,,Milestone,3494.479980,91,92
南2.7K,19,2016-04-25 23:32:46,23.443131,120.943176,244194,2593355,3480.000000,,,Milestone,3480.350098,92,94
南2.8K,20,2016-04-25 23:34:05,23.443429,120.942336,244108,2593388,3461.000000,,,Milestone,3461.149902,91,91
南2.9K,21,2024-08-11 09:04:09,23.443470,120.941450,244018,2593392,3466.000000,南玉C-1-3/C-1型 方向牌,南玉C-1-3/C-1型 方向牌,Milestone,3466.469971,124,126
南3.0K,22,2024-08-11 09:04:09,23.442832,120.940457,243916,2593322,3489.000000,南玉C-3-4/C-3型 里程柱,南玉C-3-4/C-3型 里程柱,Milestone,3488.669922,93,97
南3.1K,23,2016-04-25 23:45:54,23.442424,120.939660,243835,2593277,3516.000000,,,Milestone,3516.429932,104,104
南3.2K,24,2016-04-25 23:48:52,23.441812,120.938892,243756,2593209,3511.000000,,,Milestone,3510.580078,112,112
南3.3K,25,2016-04-25 23:50:52,23.441082,120.938135,243679,2593128,3510.000000,,,Milestone,3510.250000,108,108
南3.4K,26,2016-04-25 23:52:49,23.440151,120.937849,243650,2593025,3512.000000,,,Milestone,3511.979980,106,108
南3.5K,27,2024-08-11 09:04:09,23.439743,120.936914,243554,2592980,3532.000000,南玉C-1-4/C-1型 方向牌,南玉C-1-4/C-1型 方向牌,Milestone,3532.229980,83,87
南3.6K,28,2016-04-26 00:00:38,23.439676,120.936105,243471,2592973,3506.000000,,,Milestone,3505.540039,93,94
南3.7K,29,2016-04-26 00:04:37,23.439529,120.935210,243380,2592956,3492.000000,,,Milestone,3491.919922,79,82
南3.8K,30,2016-04-26 00:07:19,23.439085,120.934601,243318,2592907,3473.000000,,,Milestone,3473.419922,95,97
南3.9K,31,2016-04-26 00:10:10,23.438270,120.934310,243288,2592817,3453.000000,,,Milestone,3452.750000,91,92
南4.0K,32,2024-08-11 09:04:09,23.437456,120.934315,243288,2592727,3438.000000,南玉C-3-6/C-3型 里程柱,南玉C-3-6/C-3型 里程柱,Milestone,3438.100098,105,107
南4.1K,33,2016-04-26 00:18:00,23.436611,120.933859,243242,2592633,3418.000000,,,Milestone,3418.010010,89,92
南4.2K,34,2016-04-26 00:21:22,23.436085,120.933207,243175,2592575,3392.000000,,,Milestone,3392.310059,88,96
南4.3K,35,2016-04-26 00:25:55,23.435929,120.932363,243089,2592558,3353.000000,,,Milestone,3353.340088,88,90
南4.4K,36,2016-04-26 00:30:39,23.435806,120.931509,243002,2592544,3333.000000,,,Milestone,3333.270020,97,98
南4.5K,37,2024-08-11 09:04:09,23.435240,120.930780,242927,2592482,3337.000000,南玉C-3-7/C-3型 里程柱,南玉C-3-7/C-3型 里程柱,Milestone,3336.739990,102,102
南4.6K,38,2016-04-26 00:34:14,23.434748,120.929932,242840,2592427,3334.000000,,,Milestone,3334.090088,100,100
南4.7K,39,2016-04-26 00:36:12,23.434189,120.929169,242762,2592365,3340.000000,,,Milestone,3340.250000,102,102
南4.8K,40,2016-04-26 00:37:59,23.433555,120.928451,242689,2592295,3346.000000,,,Milestone,3345.729980,101,101
南4.9K,41,2016-04-26 00:39:53,23.432838,120.927850,242628,2592216,3344.000000,,,Milestone,3344.030029,99,99
南5.0K,42,2024-08-11 09:04:09,23.432060,120.927380,242579,2592130,3340.000000,南玉C-3-8/C-3型 里程柱,南玉C-3-8/C-3型 里程柱,Milestone,3340.290039,90,90
南5.1K,43,2016-04-26 00:42:55,23.431410,120.926860,242526,2592058,3344.000000,,,Milestone,3343.669922,88,88
