Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol
南3.5K,98,2024-08-11 09:04:09,23.439810,120.937180,243581,2592987,3523.700000,南玉C-1-4/C-1型 方向牌,南玉C-1-4/C-1型 方向牌,Milestone
南3.6K,99,2016-04-26 00:00:38,23.439702,120.936302,243492,2592975,3513.000000,,,Milestone
南3.7K,100,2016-04-26 00:04:37,23.439588,120.935356,243395,2592963,3493.000000,,,Milestone
南3.8K,101,2016-04-26 00:07:19,23.439048,120.934586,243316,2592903,3473.000000,,,Milestone
南3.9K,102,2016-04-26 00:10:10,23.438207,120.934289,243286,2592810,3462.000000,,,Milestone
南4.0K,103,2024-08-11 09:04:09,23.437340,120.934300,243287,2592714,3428.900000,南玉C-3-6/C-3型 里程柱,南玉C-3-6/C-3型 里程柱,Milestone
南4.1K,104,2016-04-26 00:18:00,23.436611,120.933859,243242,2592633,3418.000000,,,Milestone
南4.2K,105,2016-04-26 00:21:22,23.436085,120.933207,243175,2592575,3392.000000,,,Milestone
南4.3K,106,2016-04-26 00:25:55,23.435929,120.932363,243089,2592558,3353.000000,,,Milestone
南4.4K,107,2016-04-26 00:30:39,23.435806,120.931509,243002,2592544,3333.000000,,,Milestone
南4.5K,108,2024-08-11 09:04:09,23.435240,120.930780,242927,2592482,3323.200000,南玉C-3-7/C-3型 里程柱,南玉C-3-7/C-3型 里程柱,Milestone
南4.6K,109,2016-04-26 00:34:14,23.434748,120.929932,242840,2592427,3334.000000,,,Milestone
南4.7K,110,2016-04-26 00:36:12,23.434189,120.929169,242762,2592365,3340.000000,,,Milestone
南4.8K,111,2016-04-26 00:37:59,23.433555,120.928451,242689,2592295,3346.000000,,,Milestone
南4.9K,112,2016-04-26 00:39:53,23.432838,120.927850,242628,2592216,3344.000000,,,Milestone
南5.0K,113,2024-08-11 09:04:09,23.432060,120.927380,242579,2592130,3341.700000,南玉C-3-8/C-3型 里程柱,南玉C-3-8/C-3型 里程柱,Milestone
南5.1K,114,2016-04-26 00:42:55,23.431410,120.926860,242526,2592058,3344.000000,,,Milestone
南5.2K,115,2024-08-11 09:04:09,23.430628,120.926978,242538,2591971,3342.700000,南玉F-1-1/F-1型 指引標誌,南玉F-1-1/F-1型 指引標誌,Milestone
南5.3K,116,2016-04-26 00:47:41,23.430108,120.926377,242477,2591913,3338.000000,,,Milestone
南5.4K,117,2016-04-26 00:49:25,23.429695,120.925639,242401,2591868,3351.000000,,,Milestone
南5.5K,118,2024-08-11 09:04:09,23.429264,120.924925,242328,2591820,3371.500000,,,Milestone
